,month,sales_territory_country,product_name,sales_amount
0,01,France,"Half-Finger Gloves, S",28.2578
1,02,United Kingdom,LL Road Handlebars,24.2945
2,03,France,AWC Logo Cap,10.373
3,04,United Kingdom,"Half-Finger Gloves, L",14.1289
4,05,Canada,LL Mountain Handlebars,24.2945
5,06,United Kingdom,AWC Logo Cap,10.373
6,07,France,AWC Logo Cap,10.373
7,08,United Kingdom,Minipump,23.988
8,09,France,"Half-Finger Gloves, S",14.1289
9,10,United Kingdom,Minipump,11.994
10,11,United Kingdom,"Full-Finger Gloves, S",22.794
11,12,United Kingdom,"Half-Finger Gloves, L",14.1289
